,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Einstandspreis,smaller_6_3
724,2019-05-08,104483.0,19.0074995,19.02844994999996,18.6538812375,18.76210274333332,27.451,
725,2019-05-09,63562.0,18.79325,19.013699949999957,18.666638739999996,18.76642524416665,27.451,
726,2019-05-10,61951.0,18.772999499999997,18.999991616666627,18.681538749999998,18.770614825833317,27.451,
727,2019-05-13,100392.0,18.648,18.97614994999996,18.6950724925,18.77491190916665,27.451,
728,2019-05-14,69634.0,18.651,18.94844159999996,18.70802874,18.780058992499985,27.451,
729,2019-05-15,85437.0,18.724249999999998,18.922558266666623,18.718833739999997,18.785413993333318,27.451,
730,2019-05-16,48854.0,18.91825,18.899841599999956,18.7299249925,18.79076232583332,27.451,
731,2019-05-17,98658.0,18.9945,18.87750826666662,18.7427187425,18.79527482583332,27.451,
732,2019-05-20,78029.0,18.9107495,18.857758283333286,18.7560149875,18.799759827499987,27.451,
733,2019-05-21,38477.0,18.945000999999998,18.845624966666616,18.76933499,18.80407316083332,27.451,
734,2019-05-22,103435.0,18.93075,18.826733316666616,18.784722495,18.807991075833318,27.451,
735,2019-05-23,74230.0,18.776751,18.812749983333283,18.8022562525,18.81136899083332,27.451,
736,2019-05-24,68441.0,18.7465,18.800499933333285,18.8205087575,18.814842742499984,27.451,
737,2019-05-27,67958.0,18.7845,18.788124933333282,18.838317510000003,18.818866909166648,27.451,
738,2019-05-28,30894.0,18.769999499999997,18.78776663333328,18.856316255000003,18.82307690666665,27.451,
739,2019-05-29,124722.0,18.5460005,18.79218333333328,18.873477502500002,18.827275239999985,27.451,
740,2019-05-30,37605.0,18.61325,18.80421668333328,18.8893712475,18.831606488333318,27.451,
741,2019-05-31,47126.0,18.38025,18.821883383333283,18.904484995000004,18.83631315499998,27.451,
742,2019-06-03,49766.0,18.284750000000003,18.836841733333287,18.9189849925,18.841108155833318,27.451,
743,2019-06-04,57313.0,18.314500000000002,18.852875099999952,18.93314124,18.846610655833317,27.451,
744,2019-06-05,59283.0,18.5529995,18.867583433333287,18.94813124,18.852603572499984,27.451,
745,2019-06-06,59748.0,18.65825,18.880000099999958,18.9628824875,18.858835655833317,27.451,
746,2019-06-07,66288.0,18.7697505,18.887216783333294,18.978361245,18.86449815666665,27.451,
747,2019-06-11,66573.0,18.99975,18.90244179999996,18.99299124,18.870544823333315,27.451,
