,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Kurs_std+,Kurs_std-,Einstandspreis,smaller_6_3
0,2021-10-01,36959492526,39600.681641,44283.8164064,48958.431718880005,51548.533123540845,47415.576239232556,41152.056573567446,37000,
1,2021-10-02,26405455522,41292.042969,44672.908558409086,49118.65444725,51523.728984510024,47912.11330892962,41433.70380788855,37000,
2,2021-10-03,22950548222,41525.105469,44995.21858741667,49208.73177096297,51532.579005951,48279.300440446495,41711.13673438684,37000,
3,2021-10-04,28738204927,41504.5410155,45257.92277661539,49290.49672167858,51552.10997608657,48541.76242950798,41974.083123722805,37000,
4,2021-10-05,30936829914,43469.4453125,45581.652343892856,49421.23942632759,51542.84301309437,48961.19471104298,42202.10997674273,37000,
5,2021-10-06,42435587147,45916.076172,45980.75338553333,49550.63613295001,51522.25488293521,49585.57288418275,42375.93388688391,37000,
6,2021-10-07,31842075157,47099.810547,46406.62561046875,49661.481350951624,51506.8143822273,50283.516522208454,42529.734698729044,37000,
7,2021-10-08,30081144601,47454.9941405,46740.889476235294,49760.30444350001,51515.20288098217,50739.68180498364,42742.09714748695,37000,
8,2021-10-09,28081699148,47163.5976565,47082.44151488889,49885.4154239091,51489.64059085967,51223.64570689764,42941.23732288014,37000,
9,2021-10-10,34176954639,47811.869141,47453.621093868416,50001.52223129413,51431.95386596554,51791.19293398864,43116.04925374819,37000,
10,2021-10-11,36904742451,48563.8300785,48318.76469994737,50101.46707602858,51392.060613211885,52642.282300129256,43995.24709976549,37000,
11,2021-10-12,35630095368,48540.6289065,49057.24033728948,50192.149685472235,51390.030273566685,53311.61401145337,44802.866663125584,37000,
12,2021-10-13,35944622965,48410.373047,49673.47892692105,50259.948057567584,51379.53816611477,53612.51796552719,45734.43988831491,37000,
13,2021-10-14,31591335859,49790.1367185,50236.546052763166,50357.36132826317,51374.154675032274,53675.94739090821,46797.14471461812,37000,
14,2021-10-15,44639142500,51568.1679685,50687.15820326316,50516.9814704872,51351.5141990397,53728.53379841015,47645.78260811618,37000,
15,2021-10-16,29527448010,52794.7089845,51086.99475752632,50709.33432631251,51309.01370252345,53961.053594740624,48212.93592031202,37000,
16,2021-10-17,25035394378,52089.1113285,51404.06907907895,50869.61247156099,51177.610967676934,54142.94890684682,48665.18925131109,37000,
17,2021-10-18,32768426725,52888.826172,51619.63476576316,51005.365234511926,51055.885801500015,54186.190458030214,49053.07907349611,37000,
18,2021-10-19,34788514253,54134.8535155,51847.769120210534,51117.66270000002,50942.90205236568,54177.99773955516,49517.54050086591,37000,
19,2021-10-20,35004469846,56038.41015650001,52125.14627892107,51229.104714272755,50860.666992308834,54253.16671875429,49997.12583908785,37000,
20,2021-10-21,39492048235,55323.0800785,52374.58367610528,51344.29696194447,50764.46170188407,54332.97040126552,50416.196950945035,37000,
21,2021-10-22,33007497760,53233.638671999994,52608.59467528949,51464.896696804375,50658.70100457859,54335.34818688192,50881.841163697056,37000,
22,2021-10-23,23091004859,52202.8164065,52840.8813734737,51518.94385818088,50549.6658781972,54236.634267834634,51445.12847911276,37000,
23,2021-10-24,23468371588,52031.076172,53056.609272342124,51543.935424937525,50439.09101031252,54257.84656647331,51855.37197821094,37000,
24,2021-10-25,26759780838,53512.970703,53175.81342531581,51548.533123540845,50350.04345045892,54332.6984557798,52018.92839485183,37000,
25,2021-10-26,30077143516,53124.2226565,53212.91252071055,51767.05648131635,50244.1397277365,54368.198316310445,52057.62672511066,37000,
