,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Einstandspreis,smaller_6_3
0,2021-10-01,258725.0,25.9865,25.988833166666666,26.444178642857143,27.451,
1,2021-10-04,119716.0,25.922,25.980749875,26.480733333333333,27.451,
2,2021-10-05,236183.0,26.0579995,26.0796999,26.5207188125,27.451,
3,2021-10-06,141421.0,25.9565,26.1812999,26.557323558823526,27.451,
4,2021-10-07,75807.0,26.475499999999997,26.2838001,26.603416694444444,27.451,
5,2021-10-08,137011.0,26.4945,26.325200300000006,26.640052684210527,27.451,
6,2021-10-11,91833.0,26.434501,26.392300200000005,26.66925005,27.451,
7,2021-10-12,70631.0,26.2650005,26.413700300000006,26.698619095238094,27.451,
8,2021-10-13,117116.0,26.2919995,26.48520030000001,26.73845459090909,27.451,
9,2021-10-14,125389.0,26.582500500000002,26.563800200000003,26.774608717391303,27.451,
10,2021-10-15,161229.0,26.852,26.706500000000005,26.8100416875,27.451,
11,2021-10-18,137588.0,26.8275005,26.866800100000006,26.85444004,27.451,
12,2021-10-19,138547.0,26.978499499999998,26.948799800000007,26.90128851923077,27.451,
13,2021-10-20,143376.0,27.0935,27.002500000000005,26.94307412962963,27.451,
14,2021-10-21,141224.0,26.992499,27.065599800000008,26.97866075,27.451,
15,2021-10-22,102303.0,27.120501,27.147299900000007,27.04882148214286,27.451,
16,2021-10-25,177480.0,27.1429995,27.188500000000005,27.123625035714287,27.451,
17,2021-10-26,128030.0,27.387,27.234800200000002,27.198071482142858,27.451,
18,2021-10-27,166286.0,27.2995005,27.267900000000004,27.281392928571428,27.451,
19,2021-10-28,152927.0,27.224,27.3543001,27.352982214285714,27.451,
20,2021-10-29,169427.0,27.286,27.3909,27.427053660714286,27.451,
21,2021-11-01,428015.0,27.575,27.455999900000002,27.500232196428577,27.451,
22,2021-11-02,213373.0,27.5699995,27.5952,27.583803625,27.451,
23,2021-11-03,148171.0,27.625,27.7525001,27.671000089285716,27.451,
24,2021-11-04,112885.0,27.9200005,27.843400099999997,27.737107232142858,27.451,
25,2021-11-05,266449.0,28.0725005,27.9173001,27.795785785714287,27.451,
26,2021-11-08,187539.0,28.0295,27.982500199999997,27.861053660714283,27.451,
