,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Kurs_std+,Kurs_std-,Einstandspreis,smaller_6_3
0,2021-10-01,36959492526,39600.681641,44283.8164064,48958.431718880005,51523.728984510024,47415.576239232556,41152.056573567446,37000,
1,2021-10-02,26405455522,41292.042969,44672.908558409086,49118.65444725,51532.579005951,47912.11330892962,41433.70380788855,37000,
2,2021-10-03,22950548222,41525.105469,44995.21858741667,49208.73177096297,51552.10997608657,48279.300440446495,41711.13673438684,37000,
3,2021-10-04,28738204927,41504.5410155,45257.92277661539,49290.49672167858,51542.84301309437,48541.76242950798,41974.083123722805,37000,
4,2021-10-05,30936829914,43469.4453125,45581.652343892856,49421.23942632759,51522.25488293521,48961.19471104298,42202.10997674273,37000,
5,2021-10-06,42435587147,45916.076172,45980.75338553333,49550.63613295001,51506.8143822273,49585.57288418275,42375.93388688391,37000,
6,2021-10-07,31842075157,47099.810547,46406.62561046875,49661.481350951624,51515.20288098217,50283.516522208454,42529.734698729044,37000,
7,2021-10-08,30081144601,47454.9941405,46740.889476235294,49760.30444350001,51489.64059085967,50739.68180498364,42742.09714748695,37000,
8,2021-10-09,28081699148,47163.5976565,47082.44151488889,49885.4154239091,51431.95386596554,51223.64570689764,42941.23732288014,37000,
9,2021-10-10,34176954639,47811.869141,47453.621093868416,50001.52223129413,51392.060613211885,51791.19293398864,43116.04925374819,37000,
10,2021-10-11,36904742451,48563.8300785,47882.860547000004,50101.46707602858,51390.030273566685,52520.664039779156,43245.05705422085,37000,
11,2021-10-12,35630095368,48540.6289065,48668.980468875,50192.149685472235,51379.53816611477,53159.191412985616,44178.769524764386,37000,
12,2021-10-13,35944622965,48410.373047,49266.060254025004,50259.948057567584,51374.154675032274,53510.96248690327,45021.15802114674,37000,
13,2021-10-14,31591335859,49790.1367185,49799.94580090001,50357.36132826317,51351.5141990397,53675.41646528226,45924.47513651776,37000,
14,2021-10-15,44639142500,51568.1679685,50326.27255872501,50516.9814704872,51309.01370252345,53697.90334951311,46954.64176793691,37000,
15,2021-10-16,29527448010,52794.7089845,50828.44882825001,50709.33432631251,51177.610967676934,53855.3921767287,47801.50547977132,37000,
16,2021-10-17,25035394378,52089.1113285,51188.85615247501,50869.61247156099,51055.885801500015,54023.10754563162,48354.604759318405,37000,
17,2021-10-18,32768426725,52888.826172,51411.40273450001,51005.365234511926,50942.90205236568,54077.43434235805,48745.37112664196,37000,
18,2021-10-19,34788514253,54134.8535155,51613.560547025016,51117.66270000002,50860.666992308834,54111.81011019602,49115.31098385401,37000,
19,2021-10-20,35004469846,56038.41015650001,51909.482422025016,51229.104714272755,50764.46170188407,54194.290597174295,49624.67424687574,37000,
20,2021-10-21,39492048235,55323.0800785,52184.04599622502,51344.29696194447,50658.70100457859,54271.99090636347,50096.101086086564,37000,
21,2021-10-22,33007497760,53233.638671999994,52405.19638685002,51464.896696804375,50549.6658781972,54316.260111552256,50494.13266214778,37000,
22,2021-10-23,23091004859,52202.8164065,52619.355957150015,51518.94385818088,50439.09101031252,54300.74329765674,50937.96861664329,37000,
23,2021-10-24,23468371588,52031.076172,52893.285644650015,51543.935424937525,50350.04345045892,54271.87816603517,51514.693123264864,37000,
24,2021-10-25,26759780838,53512.970703,53095.43115247502,51548.533123540845,50244.1397277365,54277.449748060535,51913.41255688951,37000,
25,2021-10-26,30077143516,53124.2226565,53192.00234390002,51523.728984510024,50135.26804699335,54320.35662614804,52063.648061652006,37000,
26,2021-10-27,37639952956,51550.7421875,53220.568945475025,51771.21695325003,50036.7383070658,54345.56276465181,52095.57512629824,37000,
27,2021-10-28,38739882231,51498.150391,53251.14785170002,51996.339882930035,49943.38159508443,54351.81721091789,52150.47849248215,37000,
28,2021-10-29,31880097022,53082.0351565,53304.789160300024,52187.05699230003,49833.59049491027,54412.98778306183,52196.59053753822,37000,
29,2021-10-30,27815652165,53303.140625,53427.17382827502,52365.58785168002,49725.96051732912,54746.84500393976,52107.50265261029,37000,
30,2021-10-31,27898987362,52986.837891,53535.80810562502,52509.65949231003,49630.36828625626,55140.41386877968,51931.202342470366,37000,
31,2021-11-01,31165444999,52823.8203125,53633.691015775024,52630.869375120026,49526.221185500006,55404.194558229006,51863.18747332104,37000,
32,2021-11-02,32598888626,53888.966797,53800.57050795002,52690.03621106003,49441.12740579879,55685.00931132105,51916.131704578984,37000,
33,2021-11-03,31101912716,53833.046875,53982.13750015001,52703.812539190025,49368.38686006025,55879.42647766545,52084.84852263457,37000,
34,2021-11-04,28225688676,53499.591797,54181.63925795001,52742.105625130025,49302.73400309525,56072.74251095478,52290.53600494524,37000,
35,2021-11-05,26494469926,53366.041016,54326.62851577501,52811.273047000024,49254.338097547065,56274.08954454013,52379.16748700989,37000,
36,2021-11-06,25187135416,52700.689453,54515.01162122501,52854.99667981002,49202.35701319768,56521.37623887992,52508.64700357009,37000,
37,2021-11-07,21374622401,53961.652344,54637.73017592501,52905.099336060026,49148.30982860346,56524.754940333936,52750.705411516086,37000,
38,2021-11-08,35488274443,56582.546875,54698.74960950001,52935.84796887003,49103.929687619326,56496.52971207128,52900.96950692874,37000,
39,2021-11-09,36534106723,58211.0957035,54633.10898450001,52912.674882940024,49039.03432244944,56515.02348224494,52751.19448675508,37000,
40,2021-11-10,42427739382,57280.7382815,54483.36826185001,52736.668242320025,48956.65857216667,56583.20442359489,52383.53210010513,37000,
41,2021-11-11,31343096595,56571.2285155,54432.7803712,52543.64906263003,48874.192415126374,56582.170125305434,52283.39061709457,37000,
