,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Einstandspreis,smaller_6_3
249,2017-06-21,3025171,18.4525,18.95266658333333,18.709562504999994,19.319790520947183,6.379,
250,2017-06-22,1908780,18.447499,19.06183326666666,18.780775002499993,19.327063628181826,6.379,
251,2017-06-23,1757429,18.54,19.170749883333325,18.850550002499993,19.334519049001823,6.379,
252,2017-06-26,4701418,19.042499499999998,19.275166533333326,18.92151249999999,19.34264492028986,6.379,
253,2017-06-27,4717050,19.2625,19.38208321666666,18.993124997499994,19.350867986437617,6.379,
254,2017-06-28,7476067,19.6549995,19.46558323333333,19.067012494999993,19.358835734657045,6.379,
255,2017-06-29,6159039,19.9399995,19.56574991666666,19.14209999499999,19.36626125675676,6.379,
256,2017-06-30,5044114,19.957500500000002,19.62966661666666,19.221412499999992,19.371690642985616,6.379,
257,2017-07-03,5495741,20.3499995,19.646916649999994,19.302775002499992,19.377298020646325,6.379,
258,2017-07-04,3301588,20.1225005,19.650749966666663,19.382050002499994,19.38296594534051,6.379,
259,2017-07-05,5180540,20.090000500000002,19.64699998333333,19.464512502499993,19.38865831484795,6.379,
260,2017-07-06,3578068,20.1175005,19.644333316666664,19.54431250499999,19.394035710714295,6.379,
261,2017-07-07,3180990,20.3450005,19.646416649999995,19.62260000249999,19.39887700356507,6.379,
262,2017-07-10,2968582,20.355,19.64474998333333,19.70247500499999,19.403879001779366,6.379,
263,2017-07-11,3749632,20.4825,19.631999999999998,19.78168750499999,19.40877442095915,6.379,
264,2017-07-12,4549503,20.4925,19.616999999999997,19.859875004999992,19.413953898049648,6.379,
265,2017-07-13,4522752,20.794998999999997,19.64249998333333,19.938187507499993,19.419238934513277,6.379,
266,2017-07-14,2717654,20.9075,19.66550005,20.013275007499992,19.42501766519435,6.379,
267,2017-07-17,2997432,20.9925005,19.696000050000002,20.091675004999992,19.43091710405644,6.379,
268,2017-07-18,9579638,20.5599995,19.717666733333335,20.170275004999993,19.437112671654937,6.379,
269,2017-07-19,5199430,20.935000000000002,19.738333383333334,20.24832500749999,19.443637956063274,6.379,
270,2017-07-20,17774247,20.030001000000002,19.7418334,20.32330000749999,19.45033332807018,6.379,
271,2017-07-21,10402128,18.9475005,19.735416733333334,20.40088750749999,19.457215406304734,6.379,
272,2017-07-24,5318848,18.4625005,19.722750066666666,20.481325004999988,19.463583911713293,6.379,
273,2017-07-25,3443149,18.652500500000002,19.698000083333334,20.561312504999986,19.468813259162307,6.379,
274,2017-07-26,2845152,18.795,19.69758338333333,20.638850007499986,19.472648079268296,6.379,
275,2017-07-27,3249193,18.622498999999998,19.722583366666665,20.718062509999992,19.47601738608696,6.379,
276,2017-07-28,5670073,18.5625,19.74075,20.798275009999987,19.47863714670139,6.379,
277,2017-07-31,3562448,18.33,19.746916633333335,20.87858751499999,19.481022523396884,6.379,
278,2017-08-01,4745366,18.265,19.76441665,20.95995001499999,19.48252594463668,6.379,
279,2017-08-02,6443232,19.2174995,19.779833350000004,21.04197501749999,19.483320373920556,6.379,
280,2017-08-03,4099705,19.137501,19.795250016666674,21.124125012499988,19.48385344137931,6.379,
281,2017-08-04,2910252,19.455,19.798583366666676,21.20645000999999,19.483704812392425,6.379,
282,2017-08-07,3090972,19.6925,19.793416716666677,21.28993750999999,19.48378006271478,6.379,
283,2017-08-08,3338443,19.8824995,19.78225005000001,21.373250012499987,19.483756424528302,6.379,
284,2017-08-09,4343392,19.76,19.77791675000001,21.45338750999999,19.482743999143835,6.379,
285,2017-08-10,2753413,19.747499499999996,19.758833416666675,21.53110000499999,19.48225212905983,6.379,
286,2017-08-11,3361513,19.5775005,19.779833383333344,21.60336250249999,19.48093855972696,6.379,
287,2017-08-14,2442753,19.6075,19.86341670000001,21.682362504999993,19.479569841567294,6.379,
288,2017-08-15,6752479,20.1099995,19.967000033333342,21.76528750249999,19.479051863945582,6.379,
289,2017-08-16,4809157,20.84,20.065416666666675,21.84301249749999,19.478374356536506,6.379,
290,2017-08-17,3126258,20.6624995,20.16075003333334,21.918337499999993,19.4764830440678,6.379,
291,2017-08-18,4325527,20.529999500000002,20.272166750000007,21.996887499999993,19.474530450084604,6.379,
292,2017-08-21,3654946,20.8800005,20.385416750000008,22.074662499999995,19.471891885135136,6.379,
293,2017-08-22,2452594,20.945001,20.51725008333334,22.152825002499995,19.470236082630695,6.379,
294,2017-08-23,2512768,20.955,20.671083416666672,22.231000004999995,19.46851009680135,6.379,
295,2017-08-24,2128120,20.894999499999997,20.793000100000008,22.303912504999992,19.467516801680674,6.379,
296,2017-08-25,1703204,20.752500500000004,20.904666750000004,22.375712504999996,19.466749156040272,6.379,
297,2017-08-28,943000,20.6575005,21.00450006666667,22.445750007499996,19.463655773869352,6.379,
298,2017-08-29,3619542,20.4300005,21.099166750000002,22.517050007499996,19.460510027591976,6.379,
299,2017-08-30,2088870,20.362499999999997,21.192250100000003,22.589462509999994,19.458664434056764,6.379,
300,2017-08-31,3708142,20.66,21.290000066666668,22.661212509999995,19.459183327500003,6.379,
301,2017-09-01,4588457,21.455,21.387000083333337,22.734025007499994,19.474337494166672,6.379,
302,2017-09-04,2664723,21.5700005,21.492416716666664,22.802825002499993,19.48878332750001,6.379,
303,2017-09-05,2474833,21.604999499999998,21.612000083333335,22.867550002499993,19.503083328333343,6.379,
304,2017-09-06,3803118,21.655001,21.707166733333338,22.934412499999993,19.517404161666672,6.379,
305,2017-09-07,3550018,21.965000500000002,21.784666733333335,23.003649999999993,19.53285416250001,6.379,
306,2017-09-08,2338549,21.96,21.87700011666667,23.07047499999999,19.548499995000007,6.379,
307,2017-09-11,3393316,22.285,21.97250011666667,23.135700002499995,19.56426249500001,6.379,
308,2017-09-12,3826643,22.88,22.074916750000003,23.199899997499994,19.58076249583334,6.379,
309,2017-09-13,3080037,22.875,22.18741671666667,23.25866249749999,19.59572916250001,6.379,
310,2017-09-14,3037862,22.4875005,22.304166700000003,23.314399999999992,19.610774996666677,6.379,
311,2017-09-15,5164563,22.449999499999997,22.416166733333338,23.368462499999993,19.625941663333347,6.379,
312,2017-09-18,1746888,22.532500499999998,22.53000006666667,23.42672499999999,19.639908330833343,6.379,
313,2017-09-19,2795316,22.675,22.64316671666667,23.481887499999992,19.654595830833344,6.379,
314,2017-09-20,1931746,22.692498999999998,22.772750033333338,23.532150002499996,19.669558331666675,6.379,
315,2017-09-21,2046458,22.6575,22.91975003333334,23.583875,19.685704165000008,6.379,
