,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Kurs_std+,Kurs_std-,Einstandspreis,smaller_6_3
0,2021-10-01,36959492526,39600.681641,44672.908558409086,49118.65444725,51542.84301309437,47912.11330892962,41433.70380788855,37000,
1,2021-10-02,26405455522,41292.042969,44995.21858741667,49208.73177096297,51522.25488293521,48279.300440446495,41711.13673438684,37000,
2,2021-10-03,22950548222,41525.105469,45257.92277661539,49290.49672167858,51506.8143822273,48541.76242950798,41974.083123722805,37000,
3,2021-10-04,28738204927,41504.5410155,45581.652343892856,49421.23942632759,51515.20288098217,48961.19471104298,42202.10997674273,37000,
4,2021-10-05,30936829914,43469.4453125,45980.75338553333,49550.63613295001,51489.64059085967,49585.57288418275,42375.93388688391,37000,
5,2021-10-06,42435587147,45916.076172,46406.62561046875,49661.481350951624,51431.95386596554,50283.516522208454,42529.734698729044,37000,
6,2021-10-07,31842075157,47099.810547,46740.889476235294,49760.30444350001,51392.060613211885,50739.68180498364,42742.09714748695,37000,
7,2021-10-08,30081144601,47454.9941405,47082.44151488889,49885.4154239091,51390.030273566685,51223.64570689764,42941.23732288014,37000,
8,2021-10-09,28081699148,47163.5976565,47453.621093868416,50001.52223129413,51379.53816611477,51791.19293398864,43116.04925374819,37000,
9,2021-10-10,34176954639,47811.869141,47882.860547000004,50101.46707602858,51374.154675032274,52520.664039779156,43245.05705422085,37000,
10,2021-10-11,36904742451,48563.8300785,48237.15671516667,50192.149685472235,51351.5141990397,53040.2600292837,43434.053401049634,37000,
11,2021-10-12,35630095368,48540.6289065,48886.34514521429,50259.948057567584,51309.01370252345,53374.78474705834,44397.905543370245,37000,
12,2021-10-13,35944622965,48410.373047,49405.90578509524,50357.36132826317,51177.610967676934,53592.661980782636,45219.14958940784,37000,
13,2021-10-14,31591335859,49790.1367185,49906.190104285706,50516.9814704872,51055.885801500015,53714.77962259866,46097.60058597275,37000,
14,2021-10-15,44639142500,51568.1679685,50478.02008940476,50709.33432631251,50942.90205236568,53837.048677305786,47118.99150150373,37000,
15,2021-10-16,29527448010,52794.7089845,50937.7713915,50869.61247156099,50860.666992308834,53930.30319796438,47945.23958503562,37000,
16,2021-10-17,25035394378,52089.1113285,51206.08882080952,51005.365234511926,50764.46170188407,53969.70387606706,48442.47376555198,37000,
17,2021-10-18,32768426725,52888.826172,51415.53357528571,51117.66270000002,50658.70100457859,54014.128704995375,48816.93844557605,37000,
18,2021-10-19,34788514253,54134.8535155,51683.48790938096,51229.104714272755,50549.6658781972,54139.4754687992,49227.50034996271,37000,
19,2021-10-20,35004469846,56038.41015650001,51975.847098357146,51344.29696194447,50439.09101031252,54223.47265723603,49728.22153947826,37000,
20,2021-10-21,39492048235,55323.0800785,52222.274181690475,51464.896696804375,50350.04345045892,54264.87730707438,50179.67105630657,37000,
21,2021-10-22,33007497760,53233.638671999994,52425.130859499994,51518.94385818088,50244.1397277365,54290.04409583988,50560.217623160104,37000,
22,2021-10-23,23091004859,52202.8164065,52679.81361619047,51543.935424937525,50135.26804699335,54341.880979038695,51017.746253342244,37000,
23,2021-10-24,23468371588,52031.076172,52938.03617942856,51548.533123540845,50036.7383070658,54297.28092951609,51578.791429341036,37000,
24,2021-10-25,26759780838,53512.970703,53114.67689745238,51523.728984510024,49943.38159508443,54270.13695084623,51959.21684405853,37000,
25,2021-10-26,30077143516,53124.2226565,53200.28989971429,51532.579005951,49833.59049491027,54300.72916299191,52099.85063643667,37000,
26,2021-10-27,37639952956,51550.7421875,53195.81277916667,51552.10997608657,49725.96051732912,54298.17422701521,52093.45133131813,37000,
27,2021-10-28,38739882231,51498.150391,53284.98139895238,51772.499962557726,49630.36828625626,54368.92709580179,52201.03570210298,37000,
28,2021-10-29,31880097022,53082.0351565,53460.872860999996,51948.25075131733,49526.221185500006,54756.36640873577,52165.379313264224,37000,
29,2021-10-30,27815652165,53303.140625,53654.979631857146,52124.17232583657,49441.12740579879,55311.5606224357,51998.39864127859,37000,
30,2021-10-31,27898987362,52986.837891,53714.13811400001,52325.55750462502,49368.38686006025,55478.74999824519,51949.526229754825,37000,
31,2021-11-01,31165444999,52823.8203125,53773.57375385714,52452.26340907695,49302.73400309525,55614.45925894174,51932.688248772545,37000,
32,2021-11-02,32598888626,53888.966797,53897.4079242619,52495.10445475003,49254.338097547065,55786.97965156554,52007.836196958255,37000,
33,2021-11-03,31101912716,53833.046875,54079.23149195237,52533.151404875025,49202.35701319768,55981.254703986895,52177.208279917846,37000,
34,2021-11-04,28225688676,53499.591797,54287.882905642844,52606.52152206733,49148.30982860346,56194.319346761666,52381.44646452402,37000,
35,2021-11-05,26494469926,53366.041016,54448.783575285706,52675.49102326925,49103.929687619326,56427.75635566356,52469.810794907855,37000,
36,2021-11-06,25187135416,52700.689453,54490.73074790475,52737.68126515387,49039.03432244944,56449.45604947765,52532.00544633185,37000,
37,2021-11-07,21374622401,53961.652344,54546.34012290475,52764.296161480794,48956.65857216667,56432.66308465598,52660.017161153526,37000,
38,2021-11-08,35488274443,56582.546875,54559.24832602379,52766.043344471174,48874.192415126374,56424.478982608336,52694.01766943925,37000,
39,2021-11-09,36534106723,58211.0957035,54427.16694580951,52657.53301544233,48794.29974111413,56489.97490034171,52364.35899127732,37000,
40,2021-11-10,42427739382,57280.7382815,54363.925967380936,52529.71788624041,48714.505103446245,56482.52031428448,52245.331620477395,37000,
41,2021-11-11,31343096595,56571.2285155,54343.037946523786,52374.29109087502,48639.319626952136,56477.987655023455,52208.08823802412,37000,
42,2021-11-12,31532134995,55834.1562505,54259.09226199998,52231.141263644255,48561.14385292106,56489.29660233672,52028.887921663234,37000,
43,2021-11-13,26629356281,56021.111328,54094.43117569046,52079.860314115416,48485.043762333335,56475.854109208005,51713.00824217291,37000,
44,2021-11-14,21957336627,56412.755859499994,53943.95405516665,51896.63698177889,48394.09636771649,56439.8073716969,51448.1007386364,37000,
45,2021-11-15,26883766644,56891.8847655,53871.42922257141,51680.91301093273,48290.13632027551,56402.717033636414,51340.1414115064,37000,
46,2021-11-16,41382286062,54005.1132815,53713.91071438093,51422.256573125036,48178.213226131316,56377.67655688058,51050.14487188128,37000,
47,2021-11-17,34616617571,52718.5390625,53496.91648076189,51203.32463201927,48061.280996215,56420.30108920462,50573.53187231915,37000,
48,2021-11-18,36405348273,51769.2226565,53264.37360502379,50997.16173388466,47951.599048698015,56339.244075379516,50189.50313466807,37000,
49,2021-11-19,34289056107,50308.326172,53011.406622142844,50802.46841206735,47836.682942828425,56017.39251745389,50005.4207268318,37000,
50,2021-11-20,27132088068,51975.080078,52656.11690859522,50622.00555900004,47733.308574907765,55450.265419588744,49861.9683976017,37000,
51,2021-11-21,23168441582,52548.189453,52359.213262761885,50416.9151894135,47639.533034225955,54962.09869772232,49756.32782780145,37000,
52,2021-11-22,31166066807,51060.9609375,52043.812128095225,50191.05851874042,47545.95359015237,54508.41184394567,49579.21241224478,37000,
53,2021-11-23,33331102310,50431.0839845,51700.827660071416,49994.52159717311,47524.15904029998,54112.17495352415,49289.480366618685,37000,
54,2021-11-24,32700833644,50673.027344,51069.71930814285,49813.37605179811,47491.29367571427,53977.13356094241,48162.305055343284,37000,
55,2021-11-25,30585799415,51976.5703125,50437.8618862619,49584.7687050385,47455.09955369046,53559.96040167438,47315.76337084941,37000,
56,2021-11-26,36935280493,50058.152344,49799.48521216666,49377.949293980804,47414.05053955712,52906.46355006415,46692.50687426917,37000,
57,2021-11-27,26997217218,48143.810547,49387.38067345237,49193.65745202888,47352.30066976664,52482.55674065546,46292.204606249274,37000,
58,2021-11-28,24898768129,49078.2519535,48982.80747776189,49021.15219361542,47266.60563628569,52174.54982982996,45791.06512569382,37000,
59,2021-11-29,28665350260,51270.2402345,48582.42606033332,48853.84671735581,47171.381919771404,51930.68075589536,45234.171364771275,37000,
60,2021-11-30,32399262570,50750.011719,48230.468006023795,48679.825909057734,47042.62341902855,51771.16568913944,44689.77032290815,37000,
61,2021-12-01,32562962375,51045.761719,47783.47730661903,48506.761681298114,46891.62516753808,51419.04607376571,44147.90853947235,37000,
62,2021-12-02,28639661363,49947.8046875,47373.497767952365,48350.546612182734,46735.21054699997,50929.463951876736,43817.531584027995,37000,
63,2021-12-03,35166512180,48631.482422,46966.4600075476,48170.30724169234,46568.99574045235,50568.15444659837,43364.76556849683,37000,
64,2021-12-04,54256406273,42767.8359375,46568.730468857124,47933.06809655772,46415.305859499975,50229.38647774235,42908.0744599719,37000,
65,2021-12-05,32906421504,43143.75,46186.53906259521,47642.1006236058,46272.22514893331,49816.10672535064,42556.971399839786,37000,
66,2021-12-06,33417159033,43485.9746095,45751.85816602379,47321.19621403849,46109.0069662714,49195.16253682634,42308.55379522124,37000,
67,2021-12-07,29873995242,45350.9179685,45338.59737733331,47015.285832432724,45934.93381709521,48759.94385925513,41917.25089541149,37000,
68,2021-12-08,25104855062,44222.501953,45014.16936395236,46728.282790076955,45756.64897706664,48478.95616222534,41549.38256567938,37000,
69,2021-12-09,26212546684,43361.2128905,44680.851748619025,46447.099421682724,45584.04161099045,48071.00472123695,41290.698776001096,37000,
70,2021-12-10,27358744220,42917.2070315,44201.052362452356,46163.146033769255,45400.93554699997,47313.634263620836,41088.470461283876,37000,
71,2021-12-11,22776228252,42588.2753905,43810.50567345236,45841.038161173106,45212.239564861884,46552.787735540005,41068.223611364716,37000,
72,2021-12-12,19396796672,43938.619141,43446.59616823807,45481.69444873079,44997.76106783807,45631.06151603095,41262.13082044519,37000,
73,2021-12-13,28507891159,42513.167969,43156.39341526188,45158.70669331733,44779.14197370949,44762.1502988908,41550.63653163296,37000,
74,2021-12-14,30769104303,42078.763672,42992.469587142834,44846.52306200963,44599.159496028544,44114.07636572843,41870.862808557235,37000,
75,2021-12-15,32364951353,42647.0078125,43088.475725523786,44562.180401250014,44446.724209566644,44274.3397468525,41902.61170419507,37000,
76,2021-12-16,24058853189,42848.2714845,43153.07105664283,44291.44636428848,44299.40426909045,44378.385357572355,41927.75675571331,37000,
77,2021-12-17,29272501838,41379.6757815,43236.73214295235,44007.101036769236,44148.19483828569,44543.20262241149,41930.26166349321,37000,
78,2021-12-18,23219129040,41330.822266,43140.41424861902,43726.95609236539,44009.66137474284,44354.52039688459,41926.308100353446,37000,
79,2021-12-19,22372971358,42078.5820315,43016.73400309521,43472.20090907693,43885.3267393238,44247.27761135857,41786.19039483185,37000,
80,2021-12-20,27454692665,41194.453125,42925.83045028569,43219.91571526924,43765.81617384284,44199.41201464655,41652.24888592483,37000,
81,2021-12-21,23969764820,42548.53125,42859.49042049997,42973.149414182706,43620.10817532856,44169.31191794735,41549.66892305259,37000,
82,2021-12-22,21584876672,43403.6621095,42801.63913704759,42699.075420798086,43468.418443190465,44150.29173687677,41452.986537218414,37000,
83,2021-12-23,24925551041,43853.546875,42692.51776428569,42451.6954628654,43318.89731223332,44037.27657884562,41347.75894972575,37000,
84,2021-12-24,21521666976,45189.0820315,42630.58696071425,42237.11658666348,43170.755366552374,44013.42659854894,41247.747322879564,37000,
85,2021-12-25,16807813795,44783.9648435,42591.3856028333,42003.267465567325,43023.67845062856,44002.03963777573,41180.73156789088,37000,
86,2021-12-26,18514119911,44500.2519535,42449.296968166636,41730.788236307715,42879.93803024285,43997.62532235682,40900.96861397645,37000,
87,2021-12-27,21469713513,45242.857422,42228.23697930949,41407.42938714425,42723.83010613809,44027.771433008515,40428.70252561047,37000,
88,2021-12-28,29549879026,43328.2421875,42029.669084952344,41027.87207043271,42553.80891938094,44132.091819252106,39927.24635065258,37000,
89,2021-12-29,26452243764,41625.216797,41798.91517869044,40670.95917229809,42388.92182860951,44223.17289067102,39374.65746670986,37000,
90,2021-12-30,23569055197,41452.2382815,41556.28766752378,40334.032114009635,42204.11788515713,44196.50745281052,38916.06788223704,37000,
91,2021-12-31,32507766322,41524.066406,41319.89257823807,40134.712026875015,41985.84689371427,44205.013256216334,38434.7719002598,37000,
92,2022-01-01,21613129995,41373.398438,41064.68266380949,39947.08026605771,41746.49139705713,44070.21386773614,38059.15145988284,37000,
93,2022-01-02,24577311974,41647.070313,40806.44410354759,39738.738976240405,41521.92606967142,43833.85507901449,37779.03312808069,37000,
94,2022-01-03,29261479130,41212.621094,40518.83193838093,39506.80761732695,41294.79007636666,43529.13874819992,37508.52512856194,37000,
95,2022-01-04,37661970660,41255.5351565,40143.7448848095,39311.65951787503,41093.61794094761,43031.26416850458,37256.22560111442,37000,
96,2022-01-05,32580817996,39663.1464845,39813.13606785712,39130.96961402887,40892.529529490464,42535.54466604982,37090.72746966442,37000,
97,2022-01-06,26738382071,38206.0117185,39490.49181561903,38952.99812213464,40682.6166202619,42024.62382853798,36956.359802700084,37000,
98,2022-01-07,74103034014,37209.75,39107.23167797617,38794.0269682981,40486.301181276176,41315.559086349414,36898.90426960292,37000,
99,2022-01-08,24704118680,36484.9902345,38805.20628735713,38593.63367652887,40345.633919371416,40833.783641079724,36776.62893363453,37000,
100,2022-01-09,18755603984,36983.404297,38581.057756857124,38398.535738567334,40223.49548931427,40541.36573613807,36620.74977757618,37000,
101,2022-01-10,28335773331,36230.15625,38373.871186928554,38249.62640863464,40099.65847294284,40243.37166834573,36504.37070551138,37000,
102,2022-01-11,23163434090,37189.123047,38012.50381342856,38125.589937778874,39972.3572638619,39973.81783197991,36051.1897948772,37000,
103,2022-01-12,29282229408,37980.652344,37533.236328285704,38004.70937888464,39818.66948484285,39832.75468381856,35233.71797275285,37000,
104,2022-01-13,41626348816,37813.6914065,37044.72507454761,37932.71523825002,39657.39610315237,39510.291743327005,34579.15840576822,37000,
105,2022-01-14,20654206193,37312.2539065,36563.70861249999,37879.780367451945,39507.4447080619,39157.50828007423,33969.90894492575,37000,
106,2022-01-15,16093613422,37841.1796875,36142.168433928564,37810.87697200963,39364.46650865714,38653.353242414916,33630.98362544221,37000,
107,2022-01-16,15695843306,37724.7226565,35843.29947930951,37767.70558528848,39234.05212993809,38287.061266752484,33399.53769186654,37000,
108,2022-01-17,19010103713,37194.3945315,35578.83356599999,37676.05489418271,39087.17357711428,38054.42620083496,33103.24093116501,37000,
109,2022-01-18,19787042903,36985.7089845,35392.20200909522,37560.13290650963,38949.72958529999,37886.35878012865,32898.04523806179,37000,
110,2022-01-19,20356996522,36918.0976565,35277.43108276189,37433.85545007694,38831.8940198238,37774.240048047024,32780.622117476756,37000,
111,2022-01-20,18015822473,37101.320313,35133.713634833315,37281.54456516348,38699.9816128238,37614.22361584957,32653.203653817058,37000,
112,2022-01-21,37913565556,33935.3515625,35011.453311166646,37159.658522500016,38548.91314184285,37498.48388729559,32524.4227350377,37000,
113,2022-01-22,35006840731,31308.78125,34874.912946595214,37048.89026828848,38404.75002800475,37314.670344297934,32435.155548892493,37000,
114,2022-01-23,22941168169,31388.3339845,34662.41369064283,36892.45569798078,38267.99478246666,37010.76618029546,32314.061200990207,37000,
115,2022-01-24,36963489637,31111.275391000003,34403.09863295235,36742.178279115404,38145.913104642845,36685.82174276264,32120.375523142066,37000,
116,2022-01-25,23381125046,32403.191406500002,34261.347423857114,36622.22305075002,38038.40302279999,36444.64679046988,32078.048057244352,37000,
117,2022-01-26,27866393735,33386.8984375,34183.05845435711,36489.626896903865,37992.23628172856,36258.3800309344,32107.73687777982,37000,
118,2022-01-27,22469772280,32652.227539,34127.71368128568,36338.47355781733,37939.591862085705,36117.60239801289,32137.82496455847,37000,
119,2022-01-28,19946207246,33290.487305,34148.74158304758,36178.9614446731,37879.58553768094,36174.66434671186,32122.8188193833,37000,
120,2022-01-29,15421617548,34074.8007815,34224.57491638091,36026.15968684618,37811.78486804285,36387.19247072281,32061.957362039007,37000,
121,2022-01-30,13130518444,33965.3378905,34299.69433599996,35862.87753539425,37757.030459561895,36584.49661936354,32014.892052636373,37000,
122,2022-01-31,18464920256,33662.689453,34387.70484564281,35737.02266760579,37720.54759126189,36816.85832641719,31958.551364868432,37000,
123,2022-02-01,17997198255,34321.775391,34570.91169088091,35645.555006846174,37695.35406447618,37106.97369455375,32034.849687208065,37000,
124,2022-02-02,16952016995,33518.167969,34859.813476619,35571.822096692325,37675.168926828555,37350.84647800591,32368.780475232088,37000,
125,2022-02-03,16257683635,32368.075194999998,35140.708007857094,35553.918513461555,37652.389090519035,37552.02108075338,32729.39493496081,37000,
126,2022-02-04,25689419035,34335.4785155,35433.92898999995,35606.80429321156,37658.51635986189,37700.82121715585,33167.03676284405,37000,
