,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Einstandspreis,smaller_6_3
67,2022-01-06,10712855,7.064,7.067300000000001,6.641589285714285,6.379,
68,2022-01-07,6941694,7.039,7.134000000000002,6.684875,6.379,
69,2022-01-10,11768155,7.213,7.158600000000002,6.72825,6.379,
70,2022-01-11,6333552,7.2669999999999995,7.179400000000001,6.765714285714286,6.379,
71,2022-01-12,7941250,7.210000000000001,7.219500000000001,6.802982142857142,6.379,
72,2022-01-13,6850648,7.167999999999999,7.228200000000001,6.829142857142857,6.379,
73,2022-01-14,6122007,7.2395,7.192500000000001,6.856625,6.379,
74,2022-01-17,4169655,7.2565,7.141700000000002,6.876410714285713,6.379,
75,2022-01-18,6804940,7.0885,7.100100000000002,6.899839285714284,6.379,
76,2022-01-19,10418068,6.9559999999999995,7.032900000000002,6.922285714285713,6.379,
77,2022-01-20,9788090,6.96,6.9315000000000015,6.95542857142857,6.379,
78,2022-01-21,7175116,6.903499999999999,6.8359000000000005,7.002571428571427,6.379,
79,2022-01-24,13449020,6.749499999999999,6.8458,7.043035714285713,6.379,
80,2022-01-25,8482563,6.6105,6.853199999999999,7.067321428571426,6.379,
81,2022-01-26,11980113,7.0055,6.852799999999999,7.0703749999999985,6.379,
82,2022-01-27,7085957,6.997,6.8664000000000005,7.083517857142856,6.379,
83,2022-01-28,8469470,6.9015,6.9031,7.110107142857141,6.379,
84,2022-01-31,11704815,6.817500000000001,6.889500000000001,7.129357142857143,6.379,
85,2022-02-01,8939897,6.7940000000000005,6.868100000000001,7.143517857142856,6.379,
86,2022-02-02,8407653,6.9375,6.864100000000002,7.156249999999999,6.379,
87,2022-02-03,5995462,6.89,6.880000000000001,7.160857142857141,6.379,
88,2022-02-04,5683148,6.8815,6.9612000000000025,7.166928571428571,6.379,
89,2022-02-07,5444810,6.897,7.073400000000002,7.1518749999999995,6.379,
90,2022-02-08,14616824,7.2,7.223300000000002,7.150392857142856,6.379,
91,2022-02-09,11558110,7.4985,7.369700000000002,7.146446428571428,6.379,
92,2022-02-10,11334595,7.6395,7.424800000000002,7.138017857142856,6.379,
93,2022-02-11,6821012,7.6135,7.471200000000001,7.119017857142856,6.379,
94,2022-02-14,13533092,7.1725,7.528200000000003,7.103374999999998,6.379,
95,2022-02-15,10027013,7.432,7.5507000000000035,7.074928571428569,6.379,
96,2022-02-16,13611891,7.7835,7.560700000000002,7.022428571428569,6.379,
97,2022-02-17,10273499,7.752,7.639500000000003,6.97517857142857,6.379,
98,2022-02-18,9507428,7.6635,7.6125000000000025,6.957624999999998,6.379,
99,2022-02-21,10622002,7.5665,7.537700000000004,6.951571428571427,6.379,
