,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Einstandspreis,smaller_6_3
148,2022-02-26,15496410516,34906.828125,34875.71520993751,36397.325939452414,37000,
149,2022-02-27,20974356939,34371.9003905,35727.61962893751,36402.209222658574,37000,
150,2022-02-28,31825285237,36278.763672,36360.73925787501,36398.20239267503,37000,
151,2022-03-01,29175246439,39235.0507815,36888.20800787501,36366.46449329491,37000,
152,2022-03-02,26261591224,39894.0039065,37029.05566406251,36308.26069089477,37000,
153,2022-03-03,22562810870,38766.3359375,37117.51269537501,36249.143264473016,37000,
154,2022-03-04,26089308598,36941.6992185,37235.533203187515,36174.13221583338,37000,
155,2022-03-05,15535392023,35837.863281,37127.984375062515,36128.17327021433,37000,
156,2022-03-06,18158720424,35614.4843755,36846.04272468751,36091.480756088284,37000,
157,2022-03-07,26270330758,35316.064453,36428.582519625015,36055.24928989399,37000,
158,2022-03-08,23652979647,35418.373047,36036.10717787502,36017.322204703174,37000,
159,2022-03-09,29154369205,36979.5175785,35889.77929706252,35938.98128791941,37000,
160,2022-03-10,28218727367,36554.322266,35813.47753925002,35845.60390636672,37000,
161,2022-03-11,24156936348,35626.5332035,35787.67334000002,35802.06404913798,37000,
162,2022-03-12,13392381380,35771.076172,35824.77587912502,35812.35860780363,37000,
163,2022-03-13,15826202787,35227.4492185,35983.28686543752,35828.09244801858,37000,
164,2022-03-14,22226440234,35408.0507815,36002.00073262502,35876.97145442314,37000,
165,2022-03-15,21823596407,35612.884766,36101.09741231252,35965.48660166006,37000,
166,2022-03-16,35944190360,36686.4609375,36168.89229928573,36085.766520291734,37000,
167,2022-03-17,19829990296,37129.228516,36235.194987166695,36189.435547000074,37000,
168,2022-03-18,30844225536,37347.0957035,36436.74414090003,36347.04856193189,37000,
