,Date,Volume,Kurs,Kurs_mean_1,Kurs_mean_2,Kurs_mean_3,Kurs_std+,Kurs_std-,Einstandspreis,smaller_6_3
0,2021-10-01,36959492526,39600.681641,44995.21858741667,49550.63613295001,51390.030273566685,48279.300440446495,41711.13673438684,37000,
1,2021-10-02,26405455522,41292.042969,45257.92277661539,49661.481350951624,51379.53816611477,48541.76242950798,41974.083123722805,37000,
2,2021-10-03,22950548222,41525.105469,45581.652343892856,49760.30444350001,51374.154675032274,48961.19471104298,42202.10997674273,37000,
3,2021-10-04,28738204927,41504.5410155,45980.75338553333,49885.4154239091,51351.5141990397,49585.57288418275,42375.93388688391,37000,
4,2021-10-05,30936829914,43469.4453125,46406.62561046875,50001.52223129413,51309.01370252345,50283.516522208454,42529.734698729044,37000,
5,2021-10-06,42435587147,45916.076172,46740.889476235294,50101.46707602858,51177.610967676934,50739.68180498364,42742.09714748695,37000,
6,2021-10-07,31842075157,47099.810547,47082.44151488889,50192.149685472235,51055.885801500015,51223.64570689764,42941.23732288014,37000,
7,2021-10-08,30081144601,47454.9941405,47453.621093868416,50259.948057567584,50942.90205236568,51791.19293398864,43116.04925374819,37000,
8,2021-10-09,28081699148,47163.5976565,47882.860547000004,50357.36132826317,50860.666992308834,52520.664039779156,43245.05705422085,37000,
9,2021-10-10,34176954639,47811.869141,48237.15671516667,50516.9814704872,50764.46170188407,53040.2600292837,43434.053401049634,37000,
10,2021-10-11,36904742451,48563.8300785,48464.269531386366,50709.33432631251,50658.70100457859,53271.14008933427,43657.39897343846,37000,
11,2021-10-12,35630095368,48540.6289065,48626.81504769566,50869.61247156099,50549.6658781972,53387.42589698206,43866.20419840926,37000,
12,2021-10-13,35944622965,48410.373047,49167.266983826084,51005.365234511926,50439.09101031252,53546.94642009969,44787.58754755248,37000,
13,2021-10-14,31591335859,49790.1367185,49698.61166791304,51117.66270000002,50350.04345045892,53812.70875080692,45584.51458501916,37000,
14,2021-10-15,44639142500,51568.1679685,50202.92111084783,51229.104714272755,50244.1397277365,53965.45500377016,46440.38721792549,37000,
15,2021-10-16,29527448010,52794.7089845,50639.712466152174,51344.29696194447,50135.26804699335,53895.56914747215,47383.855784832194,37000,
16,2021-10-17,25035394378,52089.1113285,50988.7866,51464.896696804375,50036.7383070658,53847.06668829681,48130.50651170319,37000,
17,2021-10-18,32768426725,52888.826172,51300.3500341087,51518.94385818088,49943.38159508443,53964.51866643563,48636.18140178177,37000,
18,2021-10-19,34788514253,54134.8535155,51570.0600375,51543.935424937525,49833.59049491027,54100.28655470672,49039.83352029328,37000,
19,2021-10-20,35004469846,56038.41015650001,51810.57498317392,51548.533123540845,49725.96051732912,54190.30012080356,49430.84984554429,37000,
20,2021-10-21,39492048235,55323.0800785,52056.67162039131,51523.728984510024,49630.36828625626,54216.50456990697,49896.83867087565,37000,
21,2021-10-22,33007497760,53233.638671999994,52320.893257608695,51532.579005951,49526.221185500006,54302.175911126535,50339.610604090856,37000,
22,2021-10-23,23091004859,52202.8164065,52549.989640065214,51552.10997608657,49441.12740579879,54375.62162644434,50724.357653686086,37000,
23,2021-10-24,23468371588,52031.076172,52765.59672226087,51542.84301309437,49368.38686006025,54376.38549767857,51154.80794684316,37000,
24,2021-10-25,26759780838,53512.970703,52981.060547,51522.25488293521,49302.73400309525,54285.02100812411,51677.10008587589,37000,
25,2021-10-26,30077143516,53124.2226565,53107.60631806522,51506.8143822273,49254.338097547065,54214.099106171736,52001.113529958704,37000,
26,2021-10-27,37639952956,51550.7421875,53211.67085613044,51515.20288098217,49202.35701319768,54278.646738095624,52144.69497416526,37000,
27,2021-10-28,38739882231,51498.150391,53376.35946006522,51489.64059085967,49148.30982860346,54648.62944137238,52104.08947875806,37000,
28,2021-10-29,31880097022,53082.0351565,53642.53269376088,51431.95386596554,49103.929687619326,55233.68605376299,52051.37933375876,37000,
29,2021-10-30,27815652165,53303.140625,53833.48539417392,51392.060613211885,49039.03432244944,55585.48084393241,52081.48994441543,37000,
30,2021-10-31,27898987362,52986.837891,53939.41474200001,51589.84974191527,48956.65857216667,55781.78313214901,52097.04635185101,37000,
31,2021-11-01,31165444999,52823.8203125,53930.5341373913,51750.154297000016,48874.192415126374,55762.789553367205,52098.2787214154,37000,
32,2021-11-02,32598888626,53888.966797,53960.88332215217,51911.52135208476,48794.29974111413,55822.7941456031,52098.972498701245,37000,
33,2021-11-03,31101912716,53833.046875,54099.10580856521,52054.62751601696,48714.505103446245,56021.59272535025,52176.61889178017,37000,
34,2021-11-04,28225688676,53499.591797,54302.978345913034,52142.11967041527,48639.319626952136,56263.48337519386,52342.47331663221,37000,
35,2021-11-05,26494469926,53366.041016,54388.80604632608,52088.759666440696,48561.14385292106,56287.56780048812,52490.044292164035,37000,
36,2021-11-06,25187135416,52700.689453,54354.265540217384,52021.70779276273,48485.043762333335,56276.761320532125,52431.76975990264,37000,
37,2021-11-07,21374622401,53961.652344,54295.35249673912,51954.43627528815,48394.09636771649,56277.10326767348,52313.60172580476,37000,
38,2021-11-08,35488274443,56582.546875,54241.33440910869,51923.71289074577,48290.13632027551,56316.049886048284,52166.6189321691,37000,
39,2021-11-09,36534106723,58211.0957035,54262.07048245651,51862.87615874578,48178.213226131316,56310.33732534244,52213.80363957058,37000,
